                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.3616,                 6.2019,                 4.1415,                      0,                      0,                      0,                      0,                 6.6529,                 5.5049,                 4.1508,                0.00034,                0.00034,                0.00034
                      2,                 5.6293,                 4.6599,                   3.83,                      0,                      0,                      0,                      0,                 6.6468,                 5.3962,                 4.1449,             0.00069653,             0.00069653,             0.00069653
                      3,                 4.3468,                  3.117,                 3.1468,                      0,                      0,                      0,                      0,                 6.7335,                 5.3221,                  4.343,              0.0010495,              0.0010495,              0.0010495
                      4,                 3.5687,                 2.4878,                 2.5301,                      0,                      0,                      0,                      0,                 6.7615,                 5.3415,                 4.4202,              0.0013989,              0.0013989,              0.0013989
                      5,                  3.185,                  2.325,                 2.2173,                      0,                      0,                      0,                      0,                 6.5428,                 4.8926,                 4.0207,              0.0017448,              0.0017448,              0.0017448
                      6,                  2.989,                 2.1943,                 2.0947,                  7e-05,                0.00429,                  4e-05,                  1e-05,                 5.8906,                 4.0642,                 3.5634,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.7578,                 1.9776,                 1.9355,                0.15077,                 0.1458,                0.11782,                0.02542,                  3.734,                 2.6025,                 2.4728,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.6059,                 1.8633,                  1.864,                0.21008,                0.37736,                0.23925,                0.06057,                 3.0494,                 1.9416,                 2.2042,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.6067,                 1.8012,                 1.8468,                0.39536,                0.59863,                0.33628,                0.09354,                 2.5421,                 1.8645,                 1.9621,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.5251,                 1.7582,                 1.7803,                0.32854,                0.58319,                0.37612,                0.13819,                 2.6056,                 1.6972,                 1.9096,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.3765,                  1.616,                 1.6606,                0.42878,                0.48456,                0.47547,                 0.1612,                  2.213,                  1.688,                  1.828,               0.001901,               0.001901,               0.001901
                     12,                   2.31,                 1.5942,                 1.6754,                0.61772,                 0.4837,                0.58031,                0.20286,                 2.2527,                 1.4896,                 1.7926,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.2569,                 1.4658,                 1.6161,                0.44266,                0.68696,                0.65616,                0.22363,                 2.3193,                 1.4574,                 1.7632,              0.0018812,              0.0018812,              0.0018812
                     14,                  2.163,                 1.4245,                 1.5615,                0.66057,                0.67581,                0.72589,                0.26696,                 2.1029,                 1.3975,                  1.649,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.1178,                 1.3763,                 1.5163,                0.84968,                0.65952,                 0.8417,                 0.3388,                 1.7921,                 1.3756,                 1.5284,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.1387,                 1.3716,                 1.5552,                0.59845,                0.65314,                0.67538,                0.30805,                 1.9798,                 1.3863,                 1.5984,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.0508,                  1.283,                  1.483,                0.71664,                0.81304,                0.81099,                0.38247,                 1.7673,                 1.2577,                 1.4463,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.9679,                 1.2653,                 1.4581,                0.90349,                0.76844,                0.88775,                0.37413,                 1.9052,                 1.1335,                 1.5052,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.9266,                 1.1864,                 1.4298,                0.92057,                0.79516,                0.90337,                0.41207,                 1.8087,                 1.0837,                 1.4412,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.9153,                 1.1901,                  1.402,                0.86703,                0.73815,                0.81079,                0.30279,                 1.9562,                 1.2131,                 1.5249,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.8503,                 1.1248,                 1.3726,                 0.9393,                 0.7916,                0.91468,                0.45155,                 1.6265,                 1.0725,                 1.3944,               0.001802,               0.001802,               0.001802
                     22,                 1.8337,                 1.1198,                  1.372,                0.92645,                0.81022,                0.92301,                0.47896,                 1.5267,                0.99679,                 1.3281,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.7629,                 1.1025,                  1.336,                 0.9291,                0.82419,                 0.9378,                0.50842,                 1.5501,                 1.0294,                 1.3171,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.7825,                 1.0706,                 1.3295,                0.90586,                0.83619,                0.94162,                0.49495,                 1.5203,                 0.9523,                 1.3103,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.6534,                 1.0114,                 1.2855,                0.93115,                0.94082,                0.93686,                0.51001,                 1.5152,                  0.959,                 1.3098,              0.0017624,              0.0017624,              0.0017624
                     26,                  1.665,                0.97844,                 1.2664,                0.89874,                0.92861,                0.93881,                0.52888,                 1.4255,                 0.9028,                 1.2719,              0.0017525,              0.0017525,              0.0017525
                     27,                  1.659,                0.99141,                 1.2868,                0.96171,                0.92623,                0.95688,                0.54961,                 1.4437,                0.90145,                 1.2422,              0.0017426,              0.0017426,              0.0017426
                     28,                  1.635,                 0.9463,                 1.2776,                0.94163,                0.94076,                0.94784,                0.54764,                 1.4395,                 0.9034,                 1.2475,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.6984,                0.97216,                 1.2676,                0.92707,                0.92671,                0.93676,                  0.484,                 1.6835,                0.95652,                 1.3255,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.6519,                0.94055,                 1.2427,                0.92789,                0.93739,                0.95117,                0.54046,                  1.423,                0.91825,                 1.2489,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.6006,                0.92318,                 1.2354,                0.93628,                0.96055,                0.95644,                0.56599,                 1.3115,                0.80584,                 1.2018,               0.001703,               0.001703,               0.001703
                     32,                 1.6579,                 0.9288,                 1.2501,                0.94978,                0.95694,                 0.9599,                0.53568,                 1.4809,                0.89023,                 1.2727,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.5792,                0.90442,                 1.2173,                0.92871,                0.95969,                0.96135,                0.51167,                 1.4928,                0.88273,                 1.2334,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.5136,                 0.8801,                 1.1967,                0.94854,                0.94768,                0.96284,                0.59566,                 1.2628,                0.82585,                 1.1671,              0.0016733,              0.0016733,              0.0016733
                     35,                  1.599,                0.88494,                 1.2263,                 0.9375,                0.93908,                0.95018,                0.56031,                 1.3612,                0.78828,                 1.2054,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.5353,                0.87991,                 1.2018,                0.95259,                0.95026,                0.96006,                0.55455,                 1.3643,                0.87888,                 1.1912,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.4994,                0.88515,                  1.201,                0.94691,                0.94768,                0.96034,                0.55306,                 1.4238,                0.83885,                  1.182,              0.0016436,              0.0016436,              0.0016436
                     38,                   1.48,                0.86329,                 1.1831,                0.93617,                0.94346,                0.95531,                0.58796,                 1.3279,                0.78511,                 1.1837,              0.0016337,              0.0016337,              0.0016337
                     39,                  1.486,                0.86123,                 1.1934,                0.94881,                0.96312,                0.96087,                0.58575,                 1.3222,                0.88589,                  1.182,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.4576,                0.84525,                 1.1711,                0.96454,                0.95626,                0.96617,                0.63128,                  1.243,                0.76876,                 1.1354,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.4794,                0.83389,                 1.1748,                0.96571,                 0.9554,                0.96441,                 0.6283,                 1.2205,                0.72663,                 1.1319,               0.001604,               0.001604,               0.001604
                     42,                 1.4708,                  0.813,                 1.1539,                0.96102,                0.96484,                0.96509,                0.58335,                 1.2974,                0.71184,                 1.1628,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.4472,                0.82395,                  1.158,                0.96451,                0.95558,                0.96378,                0.58413,                 1.2868,                0.79034,                 1.1511,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.4459,                0.81916,                 1.1588,                0.96424,                0.94826,                0.96195,                0.57388,                 1.4376,                0.78783,                 1.1979,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.4869,                0.82547,                   1.17,                0.96239,                0.96549,                0.97214,                0.62095,                 1.1903,                 0.7046,                 1.1237,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.4204,                0.79852,                 1.1478,                0.95367,                0.95328,                0.95471,                0.55967,                 1.3848,                0.76179,                 1.1811,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.4428,                0.80806,                 1.1554,                0.95738,                0.96335,                0.96616,                0.54327,                  1.368,                0.72455,                 1.2072,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.3801,                0.77432,                 1.1434,                0.96203,                0.97084,                0.97002,                 0.6384,                 1.1666,                0.65279,                 1.1058,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.4262,                0.76468,                 1.1441,                0.96338,                0.95969,                0.96402,                0.61354,                 1.2363,                0.69876,                 1.1275,              0.0015248,              0.0015248,              0.0015248
